"Nombre Operador","Cédula","Código Ruta","Descripción Ruta","Código Ramal","Descripción Ramal","Mes","Año","pasajeroEquivalente","pasajerosTotal","Pasajeros Adulto Mayor","Pasajeros Regulares","Carreras","Ingresos"
"A.T.Z. ALFARO RUIZ S.A.","3-101-554030","214","SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ","R0581","SAN JOSE-LAGUNA DE ALFARO RUIZ","1","2021","","","","8118","133","9698000"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R0573","ALAJUELA-BARRIO FATIMA","1","2021","","","413","2328","427","791520"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R0915","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","1","2021","","","6379","16606","1229.5","5396950"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R2300","ALAJUELA-TARGUASES-ERIZO","1","2021","","","4553","27459","1480","9336060"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R2301","ALAJUELA-URBANIZACIÓN LA GIRALDA","1","2021","","","4566","26873","1480","9136820"
"ALPIZAR S.A.","3-101-074028","1235","ALAJUELA-EL LLANO-BRASIL-SEGURO SOCIAL","R2302","ALAJUELA-HOSPITAL NUEVO","1","2021","","","3093","7385","423","2400125"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-DESAMPARADOS-SAN PEDRO-SANTA BARBARA","R0567","ALAJUELA-ROSALES","1","2021","","","1067","7139","362","2605735"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-DESAMPARADOS-SAN PEDRO-SANTA BARBARA","R0568","ALAJUELA-LA CLAUDIA","1","2021","","","1856","21470","890.5","7836550"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-DESAMPARADOS-SAN PEDRO-SANTA BARBARA","R0569","ALAJUELA-SANTA BARBARA","1","2021","","","10791","94181","2630","34376065"
"ALPIZAR S.A.","3-101-074028","208","ALAJUELA-DESAMPARADOS-SAN PEDRO-SANTA BARBARA","R0570","ALAJUELA-URBANIZACION SILVIA EUGENIA","1","2021","","","155","318","75","116070"
"ASOCIACIÓN DE DESARROLLO DE SAN JUAN DE BARBACOAS DE PURISCAL","3-002-051021","148 A","SANTIAGO DE PURISCAL - SAN JUAN","R0459","PURISCAL-SAN JUAN","1","2021","","","347","5607","233","2240535"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","105","SANTA ANA-SAN ANTONIO DE BELEN   EXT BALNEARIO OJO DE AGUA-SAN VICENTE-ESCOBAL","R1202","SANTA ANA-SAN ANTONIO DE BELEN   EXT BALNEARIO OJO","1","2021","","","958","50934","792.5","13040180"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","HEREDIA-LA AURORA-BELEN-SAN RAFAEL","R1196","HEREDIA-SAN RAFAEL","1","2021","","","812","28680","291.5","7862905"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","HEREDIA-LA AURORA-BELEN-SAN RAFAEL","R1197","HEREDIA-SAN ANTONIO DE BELEN.","1","2021","","","4110","95620","1194.5","24161895"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","HEREDIA-LA AURORA-BELEN-SAN RAFAEL","R1199","HEREDIA-LA AURORA","1","2021","","","2814","35923","743","7235600"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","HEREDIA-LA AURORA-BELEN-SAN RAFAEL","R1201","SANTA ANA-SAN ANTONIO DE BELEN   EXT BALNEARIO OJO DE AGUA-SAN VICENTE-ESCOBAL","1","2021","","","400","5640","221","1125705"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","405","HEREDIA-LA AURORA-BELEN-SAN RAFAEL","R2043","HEREDIA-ESCOBAL","1","2021","","","964","17377","186.5","4152970"
"AUTOBUSES BARRANTES ARAYA, S.A.","3-101-080606","I-3","SANTA ANA - SAN ANTONIO DE BELEN - LA VALENCIA","R0005","SANTA ANA - SAN ANTONIO DE BELEN - LA VALENCIA","1","2021","","","59","3129","54","1037810"
"AUTOBUSES CHILSACA,  S.A.","3-101-055460","288","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE Y RAMALES","R0894","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE","1","2021","","","2131","86756","499","88057340"
"AUTOBUSES CHILSACA,  S.A.","3-101-055460","288","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE Y RAMALES","R0895","CIUDAD QUESADA-SAN JOSE EL AMPARO","1","2021","","","101","1881","22","1984455"
"AUTOBUSES CHILSACA,  S.A.","3-101-055460","288","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE Y RAMALES","R0896","CIUDAD QUESADA-EL CONCHO-POCOSOL-LLANO VERDE-SAN JUAN","1","2021","","","92","2836","31","2978000"
"AUTOBUSES CHILSACA,  S.A.","3-101-055460","288","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE Y RAMALES","R0903","CIUDAD QUESADA-SAN JORGE","1","2021","","","72","1768","18","1414400"
"AUTOBUSES CHILSACA,  S.A.","3-101-055460","288","CIUDAD QUESADA-LOS CHILES-FRONTERA NORTE Y RAMALES","R2185","CIUDAD QUESADA-SANTA ROSA","1","2021","","","132","4797","52","4125420"
"AUTOBUSES DE TILARAN, S.A.","3-101-651206","508","TILARAN-PUNTARENAS","R1403","TILARAN-PUNTARENAS","1","2021","","","216","876","26","1904090"
"AUTOBUSES DE TILARAN, S.A.","3-101-651206","555","TILARAN-CAÑAS","R1404","TILARAN-CAÑAS","1","2021","","","1377","43849","456","15590890"
"AUTOBUSES ROMERO, S.A.","3-101-109324","334","CARTAGO-CABALLO BLANCO-DULCE NOMBRE-BLANQUILLO Y VICEVERSA","R1086","CARTAGO-DULCE NOMBRE","1","2021","","","2319","19605","1550","5293350"
"AUTOBUSES ROMERO, S.A.","3-101-109324","334","CARTAGO-CABALLO BLANCO-DULCE NOMBRE-BLANQUILLO Y VICEVERSA","R1087","CARTAGO-BLANQUILLO","1","2021","","","259","3520","155","950400"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0364","SAN ISIDRO-SAN RAFAEL","1","2021","","","1599","13581","615","4006395"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0387","SAN ISIDRO-SAN ANTONIO","1","2021","","","807","6015","423","1774425"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0431","SAN JOSE-SAN ISIDRO DE CORONADO","1","2021","","","15615","183818","2774","62498120"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0432","SAN ISIDRO-SAN PEDRO","1","2021","","","2006","17015","660","5019425"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0433","SAN ISIDRO-SAN FRANCISCO","1","2021","","","1083","7219","539","2129605"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0434","SAN ISIDRO-DULCE NOMBRE","1","2021","","","706","4961","412","1463495"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0435","SAN ISIDRO-PATIO DE AGUA","1","2021","","","1107","10560","571","3115200"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0436","PERIFERICA CORONADO","1","2021","","","1614","5706","345","1711800"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0437","SAN ISIDRO-EL RODEO","1","2021","","","1267","9008","551","2657360"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R0438","SAN ISIDRO-LAS NUBES-CASCAJAL","1","2021","","","986","22489","531","7646260"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R1995","PERIFERICA IPIS","1","2021","","","1676","6759","338","2027700"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R1996","SAN ISIDRO-LA COLMENA","1","2021","","","453","4778","269","1409510"
"AUTOBUSES UNIDOS DE CORONADO, S.A","3-101-010075","142","SAN JOSE-SAN ISIDRO DE CORONADO Y RAMALES","R1997","SAN ISIDRO-LA MAQUINA","1","2021","","","5","211","39","62245"
"AUTOLASSA, S.A.","3-101-124430","651","PALMAR NORTE-FINCAS-SIERPE DE OSA","R1631","PALMAR NORTE Y SUR-SIERPE DE OSA Y VICEVERSA","1","2021","","","422","4532","126","657140"
"AUTOLASSA, S.A.","3-101-124430","651","PALMAR NORTE-FINCAS-SIERPE DE OSA","R2111","PALMAR NORTE Y SUR-FINCA N°7 Y VICEVERSA","1","2021","","","198","5454","62","490860"
"AUTOTRANSPORTES ADONAY LOS CHILES-UPALA, S.A.","3-101-497134","1244","UPALA-COLONIA-PUNTARENAS-SANTA ROSA-SANJORGE-VERACRUZ-CAÑO NEGRO CON EXT. SAN LUIS Y LOS CHILES FRONTERA NORTE Y VICEVERSA","R0923","UPALA-COLONIA-PUNTARENAS-SANTA ROSA-SANJORGE-VERACRUZ-CAÑO NEGRO CON EXT. SAN LUIS Y LOS CHILES FRONTERA NORTE Y VICEVERSA","1","2021","","","76","3492","62","2880900"
"AUTOTRANSPORTES BLANCO LOBO, S.A.","3-101-094405","699 BS","SAN JOSE-PUERTO JIMENEZ","R1709","SAN JOSE-PUERTO JIMENEZ","1","2021","","","87","1184","62","9785760"
"AUTOTRANSPORTES BLANCO LOBO, S.A.","3-101-094405","699 BS","SAN JOSE-PUERTO JIMENEZ","R1710","SAN ISIDRO-PUERTO JIMENEZ","1","2021","","","78","982","31","5126040"
"AUTOTRANSPORTES CAMBRONERO ALFARO, S.A.","3-101-046095","233","ALAJUELA-BALNEARIO DE OJO DE AGUA-URBANIZACION LA PAZ-RINCON VENEGAS-SAN ANTONIO DE BELEN-LA REFORMA Y VICEVERSA","R0642","ALAJUELA-RINCON VENEGAS-SAN ANTONIO DE BELEN","1","2021","","","5347","99441","707.5","26128175"
"AUTOTRANSPORTES CAMBRONERO ALFARO, S.A.","3-101-046095","233","ALAJUELA-BALNEARIO DE OJO DE AGUA-URBANIZACION LA PAZ-RINCON VENEGAS-SAN ANTONIO DE BELEN-LA REFORMA Y VICEVERSA","R0643","ALAJUELA-LA REFORMA-BELEN","1","2021","","","620","10964","517.5","2850640"
"AUTOTRANSPORTES CAMBRONERO ALFARO, S.A.","3-101-046095","233","ALAJUELA-BALNEARIO DE OJO DE AGUA-URBANIZACION LA PAZ-RINCON VENEGAS-SAN ANTONIO DE BELEN-LA REFORMA Y VICEVERSA","R0644","ALAJUELA-BALNEARIO OJO DE AGUA-SAN ANTONIO DE BELEN","1","2021","","","3806","71390","612.5","18561400"
"AUTOTRANSPORTES CAMBRONERO ALFARO, S.A.","3-101-046095","233","ALAJUELA-BALNEARIO DE OJO DE AGUA-URBANIZACION LA PAZ-RINCON VENEGAS-SAN ANTONIO DE BELEN-LA REFORMA Y VICEVERSA","R0646","ALAJUELA-URBANIZACION LA PAZ-BELEN","1","2021","","","1580","29637","464.5","7705620"
"AUTOTRANSPORTES CAMBRONERO ALFARO, S.A.","3-101-046095","233","ALAJUELA-BALNEARIO DE OJO DE AGUA-URBANIZACION LA PAZ-RINCON VENEGAS-SAN ANTONIO DE BELEN-LA REFORMA Y VICEVERSA","R2303","ALAJUELA-CALLE MONGE-BELEN","1","2021","","","348","6529","134","1701100"
"AUTOTRANSPORTES CAMBRONERO ALFARO, S.A.","3-101-046095","233","ALAJUELA-BALNEARIO DE OJO DE AGUA-URBANIZACION LA PAZ-RINCON VENEGAS-SAN ANTONIO DE BELEN-LA REFORMA Y VICEVERSA","R2304","","1","2021","","","230","4512","525","1330170"
"AUTOTRANSPORTES CAMBRONERO ALFARO, S.A.","3-101-046095","233","ALAJUELA-BALNEARIO DE OJO DE AGUA-URBANIZACION LA PAZ-RINCON VENEGAS-SAN ANTONIO DE BELEN-LA REFORMA Y VICEVERSA","R2306","ALAJUELA-URBANIZACION MELISSAS-BELEN","1","2021","","","10","191","22.5","56345"
